defteam,defteam_coach,season,actual_box,predicted_box,box_resid_var_sum,box_plays,box_stacking_gene,actual_rushers,predicted_rushers,rush_resid_var_sum,rush_plays,pass_rush_gene,actual_man,predicted_man_prob,man_phat_var_sum,man_plays,man_coverage_gene,total_plays,box_stacking_gene_zscore,pass_rush_gene_zscore,man_coverage_gene_zscore,box_stacking_gene_reliability,pass_rush_gene_reliability,man_coverage_gene_reliability,composite_scheme,scheme_components,composite_scheme_zscore,head_coach
JAX,Doug Marrone,2016,6.53125,6.1154047176241875,100.03373122605035,128,0.41584528237581253,4.367816091954023,4.192439786319075,73.66725903901613,87,0.17537630563494844,,,,,,215.0,2.234993791804181,1.3902772845937608,,0.8270012635094871,0.569236172724336,0.0,1.8906088189312698,2,2.134741205712684,Doug Marrone
DEN,Gary Kubiak,2016,6.703773584905661,6.355943954890629,1015.1436507191761,1060,0.3478296300150321,4.483050847457627,4.27323189509117,585.2497904374145,590,0.2098189523664571,,,,,,1650.0,1.8711900326866089,1.6590454062466005,,0.9699747635271926,0.8843908483270204,0.0,1.7700132394232273,2,1.986382716143327,Gary Kubiak
ARI,Bruce Arians,2016,6.594836146971201,6.284375983648291,685.3745324228212,1007,0.3104601633229107,4.496621621621622,4.2614010914757445,552.8514558002137,592,0.2352205301458774,,,,,,1599.0,1.6713073294126788,1.8572628777438691,,0.9773672649251843,0.8907477232807731,0.0,1.7599739705740494,2,1.9740322571221869,Bruce Arians
NYJ,Todd Bowles,2016,6.648148148148148,6.395783327489233,584.9479454307148,972,0.2523648206589151,4.464788732394366,4.282115248727127,649.5676791760009,568,0.182673483667239,,,,,,1540.0,1.3605655616755186,1.4472197387667418,,0.9792279799261135,0.8646444615350443,0.0,1.4012001807554748,2,1.5326633630740594,Todd Bowles
NO,Sean Payton,2016,6.5045685279187815,6.403479656955312,706.0779153383662,985,0.10108887096346919,4.452892561983471,4.249859221907687,580.2005760914487,605,0.203033340075784,,,,,,1590.0,0.5514171193234698,1.606094880003789,,0.9756726650950887,0.8902757364462924,0.0,1.0546218270890049,2,1.1062974773828438,Sean Payton
LV,Jack Del Rio,2016,6.5688161693936475,6.413200747863505,599.5950077124069,1039,0.1556154215301424,4.379251700680272,4.254923026577956,348.65347957091535,588,0.1243286741023164,,,,,,1627.0,0.8430700459564076,0.9919346093399295,,0.9813254475067187,0.9272944222130699,0.0,0.9153952278748952,2,0.9350188281027842,Jack Del Rio
LA,Jeff Fisher,2016,6.316867469879518,6.329964877036681,582.146473700732,830,-0.013097407157163232,4.50501002004008,4.260475620716989,543.5739046484296,499,0.24453439932309085,,,,,,1329.0,-0.05934519461537982,1.9299422842829115,,0.9718621453395341,0.8548953888573045,0.0,0.8716117939208304,2,0.881155791363933,Jeff Fisher
TEN,Mike Mularkey,2016,6.416338582677166,6.299637033714085,630.0123582722579,1016,0.11670154896308116,4.333830104321907,4.238218886308627,617.1260166097989,671,0.09561121801328021,,,,,,1687.0,0.6349265873503656,0.767842169758702,,0.9795174483530178,0.9036924769780644,0.0,0.6987085429783099,2,0.6684476203338897,Mike Mularkey
MIA,Adam Gase,2016,6.413178984861977,6.3113069400549575,791.2929562059289,1123,0.10187204480701961,4.3213728549141965,4.2602013786571815,410.1005581220641,641,0.06117147625701502,,,,,,1764.0,0.555606178436141,0.4990967166523802,,0.978954913880896,0.9279845347364983,0.0,0.5281066652032305,2,0.45857063307069634,Adam Gase
NYG,Ben McAdoo,2016,6.358422939068101,6.297548406867571,574.135561626683,1116,0.06087453220052996,4.307254623044097,4.236527560954412,550.1301713421698,703,0.07072706208968427,,,,,,1819.0,0.3363176958145822,0.5736623235164293,,0.9844514254630949,0.9203444665370124,0.0,0.45099602732773625,2,0.3637079705120322,Ben McAdoo
MIN,Mike Zimmer,2016,6.410152284263959,6.288668792259875,452.2368251113297,985,0.12148349200408415,4.304273504273504,4.285338317430936,447.11397009587364,585,0.018935186842568008,,,,,,1570.0,0.6605043594339889,0.16951205203594494,,0.9842810755360072,0.9077852563336782,0.0,0.4249335603971739,2,0.3316455330326245,Mike Zimmer
PHI,Doug Pederson,2016,6.368091762252346,6.2976648268038335,525.1537640177146,959,0.07042693544851275,4.323076923076923,4.281342728117592,328.8649610179035,585,0.041734194959330395,,,,,,1544.0,0.38741182032270693,0.3474207544320477,,0.9808113257733213,0.9304779322803297,0.0,0.3679428654573819,2,0.2615347258598651,Doug Pederson
WAS,Jay Gruden,2016,6.264223722275796,6.304336396799483,569.0776486750804,1037,-0.040112674523687275,4.346709470304976,4.227865542110241,500.5412315610073,623,0.11884392819473533,,,,,,1660.0,-0.20384510721454116,0.9491352023485058,,0.9821917788764982,0.9088671595521493,0.0,0.3502920048962368,2,0.2398203726212691,Jay Gruden
TB,Dirk Koetter,2016,6.468063872255489,6.425771059628256,598.6392892614087,1002,0.042292812627232834,4.32991452991453,4.272459888050699,386.89012725462084,585,0.057454641863830425,,,,,,1587.0,0.2369273467258759,0.4700929468161607,,0.9799803098004559,0.9192025137046261,0.0,0.3497792549570604,2,0.23918957996026682,Dirk Koetter
DET,Jim Caldwell,2016,6.344488188976378,6.379047763394558,534.8883026639674,1016,-0.03455957441818036,4.347611202635914,4.257658450175353,379.1260194685319,607,0.08995275246056078,,,,,,1623.0,-0.17414255165536635,0.7236871670988618,,0.9825561125574933,0.9259216691957444,0.0,0.26145067336963873,2,0.1305264348966479,Jim Caldwell
GB,Mike McCarthy,2016,6.3760683760683765,6.290388796064589,670.254769445518,1170,0.08567958000378795,4.2506811989100814,4.248207118920474,506.69189954251306,734,0.0024740799896072474,,,,,,1904.0,0.4689955327931759,0.04106022881558807,,0.9835011643181917,0.9318583751400197,0.0,0.2607969732984896,2,0.12972224327053114,Mike McCarthy
CAR,Ron Rivera,2016,6.385518590998043,6.30420618327863,492.63975280025,1022,0.0813124077194125,4.249240121580547,4.252306453000449,364.89591973026046,658,-0.0030663314199017577,,,,,,1680.0,0.4456362965199971,-0.0021735557226791142,,0.9840971174662232,0.938501712789689,0.0,0.2270413890852994,2,0.08819561759461937,Ron Rivera
SEA,Pete Carroll,2016,6.42170818505338,6.338470437348525,915.0356203990484,1124,0.08323774770485493,4.256568778979907,4.266799269356352,474.4802357480645,647,-0.01023049037644519,,,,,,1771.0,0.45593460139499703,-0.05807801512681289,,0.9757858013052906,0.9190084344795308,0.0,0.20662946783954478,2,0.06308456611510084,Pete Carroll
JAX,Gus Bradley,2016,6.615909090909091,6.459691230546344,554.8375030025179,880,0.1562178603627471,4.202040816326531,4.300661327887554,258.61538061502057,490,-0.09862051156102325,,,,,,1370.0,0.8462923852905572,-0.7478165288892011,,0.9760404579141975,0.9227239829401562,0.0,0.07161886872179886,2,-0.10300749665098895,Gus Bradley
HOU,Bill O'Brien,2016,6.350093109869646,6.36341423184734,547.9604954994254,1074,-0.013321121977694084,4.29173166926677,4.277085006330017,475.5326147056574,641,0.01464666293675343,,,,,,1715.0,-0.06054180583433458,0.1360471872764475,,0.9839845481930287,0.9174429705205779,0.0,0.03431281683002324,2,-0.14890196088457044,Bill O'Brien
LAC,Mike McCoy,2016,6.473267326732674,6.351900168692712,595.5846023719423,1010,0.12136715803996179,4.1549755301794455,4.245348222104021,367.78505145131675,613,-0.09037269192457575,,,,,,1623.0,0.6598821095254492,-0.6834558829522127,,0.9803885735256305,0.9292817865387946,0.0,0.00618838537246753,2,-0.18350105803275088,Mike McCoy
CLE,Hue Jackson,2016,6.46336822074215,6.452883790494373,569.4431796178005,1051,0.0104844302477769,4.2313167259786475,4.263890917190878,446.80216691255896,562,-0.032574191212230375,,,,,,1613.0,0.06678990513062442,-0.23243379420558077,,0.9826439309574079,0.9009089825656935,0.0,-0.07632968370232149,2,-0.28501602350707944,Hue Jackson
