head_coach,season,actual_shotgun,predicted_shotgun_rate,total_plays,shotgun_gene,shotgun_gene_zscore
Dick Jauron,1999,0.29697525206232817,0.29579163,1091,0.0011836260857656655,0.4188258154155023
Tony Dungy,1999,0.18467220683287167,0.21655872,1083,-0.03188651780892826,0.16056276639816505
Chris Palmer,1999,0.22977725674091443,0.30119228,853,-0.07141502688945667,-0.1481372293065634
Wade Phillips,1999,0.2541743970315399,0.33042824,1078,-0.07625384565187077,-0.18592624199434532
Jeff Fisher,1999,0.1986970684039088,0.27549586,1228,-0.07679878859644215,-0.19018200292643106
Jim Fassel,1999,0.2476280834914611,0.3310579,1054,-0.08342982265935678,-0.24196741640027233
Mike Riley,1999,0.13712047012732614,0.22367099,1021,-0.0865505191476525,-0.2663386617353815
Bill Cowher,1999,0.2048076923076923,0.3012141,1040,-0.09640640662266659,-0.3433087395848865
Andy Reid,1999,0.0,0.11122489,923,-0.11122488975524902,-0.45903447237332995
Tom Coughlin,1999,0.173109243697479,0.2891385,1190,-0.11602925222460964,-0.4965543968064564
Chan Gailey,1999,0.17714285714285713,0.31674194,1050,-0.13959908621651787,-0.680624269951441
Pete Carroll,1999,0.2112676056338028,0.3620251,994,-0.15075750627987822,-0.7677665453813962
Brian Billick,1999,0.11518324607329843,0.26737824,955,-0.1521949947504473,-0.7789926881075548
Jimmy Johnson,1999,0.20949957591178966,0.36213732,1179,-0.15263774174568104,-0.7824503443335588
Mike Ditka,1999,0.14451988360814744,0.29738438,1031,-0.15286449768610305,-0.7842212069201464
Bruce Coslet,1999,0.08399209486166008,0.25505757,1012,-0.17106547845682135,-0.9263627350586389
Ray Rhodes,1999,0.12797619047619047,0.3034384,1008,-0.17546220478557406,-0.9606992033538576
Mike Shanahan,1999,0.15198451113262343,0.33213913,1033,-0.18015462327442003,-0.997344895312553
Vince Tobin,1999,0.10896130346232179,0.30320162,982,-0.19424031234807249,-1.107347833892308
Dan Reeves,1999,0.0262582056892779,0.23890793,914,-0.21264972754589057,-1.251117141783873
Dennis Green,1999,0.09386281588447654,0.3092989,1108,-0.21543608686553872,-1.2728773632041874
Jon Gruden,1999,0.0,0.21590479,1039,-0.21590478718280792,-1.2765377032800818
Mike Holmgren,1999,0.0,0.22402038,1003,-0.22402037680149078,-1.3399168323872512
Bill Parcells,1999,0.040082219938335044,0.27618933,973,-0.23610710730165518,-1.4343087975859317
Dick Vermeil,1999,0.028169014084507043,0.2684462,1065,-0.24027719296200176,-1.4668753035175066
Gunther Cunningham,1999,0.0,0.25030628,1029,-0.25030627846717834,-1.5451979806026241
Jim Mora,1999,0.17670286278381048,0.43368664,1013,-0.25698378105507197,-1.5973462924957353
George Seifert,1999,0.0,0.2630709,963,-0.2630709111690521,-1.6448840591292215
Norv Turner,1999,0.03713527851458886,0.33139125,1131,-0.2942559666121354,-1.888425409543413
Steve Mariucci,1999,0.0,0.30029973,991,-0.300299733877182,-1.9356245317000167
Bobby Ross,1999,0.006937561942517344,0.31211117,1009,-0.3051736071572904,-1.973687304509629
Tony Dungy,2000,0.25579053373615307,0.26957193,993,-0.013781396433906135,0.3019556754835235
Dick LeBeau,2000,0.21482412060301506,0.25874308,796,-0.043918956913540724,0.06659479274289304
Bill Cowher,2000,0.2389558232931727,0.2844295,996,-0.04547366727308097,0.05445319943527733
Dave Wannstedt,2000,0.2214498510427011,0.2830915,1007,-0.0616416344576346,-0.07181140088794782
Jim Haslett,2000,0.2949389179755672,0.36103013,1146,-0.06609121360287823,-0.10656062606682463
Dick Jauron,2000,0.30918367346938774,0.38577327,980,-0.07658959785286262,-0.1885483166795526
Jeff Fisher,2000,0.16076294277929154,0.24495077,1101,-0.08418782855249557,-0.24788710377020073
Tom Coughlin,2000,0.2949438202247191,0.38551652,1068,-0.09057270409016127,-0.29775012913847954
Chris Palmer,2000,0.14840989399293286,0.23966216,849,-0.0912522615160622,-0.3030571690278253
Dennis Green,2000,0.32983794089609153,0.426665,1049,-0.09682706717199319,-0.34659391053595173
Wade Phillips,2000,0.2804757185332012,0.3819568,1009,-0.10148106738408091,-0.38293957291735925
Terry Robiskie,2000,0.16974169741697417,0.27140948,813,-0.10166778434686555,-0.384397748976876
Mike Riley,2000,0.16319824753559695,0.26744476,913,-0.10424651207171812,-0.40453646040573144
Brian Billick,2000,0.05341712490180676,0.18338527,1273,-0.12996814295193013,-0.6054109058866869
Bruce Coslet,2000,0.20786516853932585,0.346253,178,-0.13838783911104952,-0.6711649712085083
Gary Moeller,2000,0.1140819964349376,0.27659792,561,-0.16251592064498793,-0.8595945082476159
Andy Reid,2000,0.01147396293027361,0.17721203,1133,-0.16573806676523725,-0.884758029883471
Mike Martz,2000,0.049102927289896126,0.2306576,1059,-0.1815546800270747,-1.0082787130452278
Dave McGinnis,2000,0.0916030534351145,0.2785069,393,-0.18690385140535487,-1.0500533516518824
Bobby Ross,2000,0.03755868544600939,0.23624252,426,-0.19868383238293197,-1.142049740126123
Jim Fassel,2000,0.11385350318471338,0.31651574,1256,-0.20266224054773901,-1.1731193304535903
Norv Turner,2000,0.18137254901960784,0.3968502,204,-0.21547764948770112,-1.2732019487142776
Bill Belichick,2000,0.035852713178294575,0.2547445,1032,-0.21889178674350412,-1.2998648353426254
Dan Reeves,2000,0.041666666666666664,0.28778186,912,-0.2461151977380117,-1.5124675125635645
Jim Mora,2000,0.24390243902439024,0.4960791,1066,-0.252176648232995,-1.559804732845609
Vince Tobin,2000,0.14041745730550284,0.40199548,527,-0.2615780227550746,-1.6332252675961627
Dave Campo,2000,0.011802575107296138,0.2736091,932,-0.2618065266650122,-1.635009781043724
Jon Gruden,2000,0.0,0.27231,1127,-0.2723099887371063,-1.7170371271785025
Al Groh,2000,0.04666666666666667,0.3212682,1050,-0.2746015342076619,-1.734933073506166
Mike Holmgren,2000,0.0,0.28497416,944,-0.2849741578102112,-1.8159386296487081
George Seifert,2000,0.0,0.31146696,970,-0.3114669620990753,-2.0228355949128796
Steve Mariucci,2000,0.072,0.3849772,1000,-0.31297719168663024,-2.034629813264034
Mike Shanahan,2000,0.0,0.31660673,1161,-0.316606730222702,-2.0629748876561123
Mike Sherman,2000,0.06789524733268672,0.38497442,1031,-0.3170791727379615,-2.066664452626403
Gunther Cunningham,2000,0.0,0.34503436,923,-0.3450343608856201,-2.2849819824762214
Butch Davis,2001,0.2569593147751606,0.26462904,934,-0.007669721412965014,0.34968512687440806
Tony Dungy,2001,0.23524069028156222,0.24838182,1101,-0.013141133019753087,0.3069558466965658
Bill Cowher,2001,0.19601328903654486,0.2253938,1204,-0.02938051289102167,0.18013354519525526
Tom Coughlin,2001,0.38183694530443757,0.41211173,969,-0.03027478407903106,0.17314968675184772
Dave Campo,2001,0.14842105263157895,0.18564083,950,-0.037219774189748256,0.11891241681130582
Mike Sherman,2001,0.29924953095684803,0.33816296,1066,-0.03891342766513073,0.1056857398447968
Dave Wannstedt,2001,0.24924924924924924,0.32128522,999,-0.07203596875116275,-0.1529865078273153
Jim Haslett,2001,0.35984481086323955,0.43298402,1031,-0.07313921342303059,-0.16160235581624519
Dick LeBeau,2001,0.1484593837535014,0.22208695,1071,-0.07362756738308765,-0.16541618206162367
Marty Schottenheimer,2001,0.14166666666666666,0.2174672,960,-0.07580053706963857,-0.18238610449250045
Jeff Fisher,2001,0.2378167641325536,0.3144972,1026,-0.07668043850225781,-0.18925774156630915
Dave McGinnis,2001,0.25735294117647056,0.3463786,952,-0.08902565346044655,-0.28566835489865167
Jim Fassel,2001,0.16731517509727625,0.27950782,1028,-0.11219264074058385,-0.46659217520516455
Bill Belichick,2001,0.18076285240464346,0.297461,1206,-0.1166981506604658,-0.5017781947456863
Dick Jauron,2001,0.09416195856873823,0.22067231,1062,-0.1265103508299129,-0.5784070942569595
Andy Reid,2001,0.0025929127052722557,0.15172487,1157,-0.14913196226802486,-0.7550717728956774
Brian Billick,2001,0.000835421888053467,0.1648724,1197,-0.16403697112399335,-0.8714732329265323
Dennis Green,2001,0.249728555917481,0.41582176,921,-0.16609320497538704,-0.8875315006390839
Mike Riley,2001,0.1565906838453915,0.32894847,1009,-0.17235778412450292,-0.9364550649577954
Dick Vermeil,2001,0.13043478260869565,0.31251892,1012,-0.18208414186602054,-1.0124135734588957
Mike Holmgren,2001,0.02040816326530612,0.21477199,980,-0.1943638227423843,-1.1083123948909501
Mike Martz,2001,0.0225752508361204,0.22181393,1196,-0.199238681225075,-1.1463828616925695
Gregg Williams,2001,0.0873015873015873,0.2906169,1008,-0.20331531242718773,-1.1782195300581335
Marty Mornhinweg,2001,0.04097560975609756,0.26356468,1025,-0.2225890662902739,-1.3287389367634965
Dan Reeves,2001,0.08308004052684904,0.3115091,987,-0.2284290620560825,-1.3743466945503644
George Seifert,2001,0.0,0.25172368,963,-0.25172367691993713,-1.5562672292653335
Jim Mora,2001,0.23604309500489715,0.48841304,1021,-0.2523699408647012,-1.5613142619415814
Steve Mariucci,2001,0.028310502283105023,0.29243407,1095,-0.26412356425093736,-1.6531048094032716
Herm Edwards,2001,0.0030272452068617556,0.2686414,991,-0.26561416705128643,-1.6647457513150392
Jon Gruden,2001,0.0,0.28493428,1152,-0.28493428230285645,-1.8156272197515106
Mike Shanahan,2001,0.0,0.3064046,1034,-0.30640459060668945,-1.983300735281023
Bill Cowher,2002,0.3202293202293202,0.4141224,1221,-0.09389308243867905,-0.3236808005897442
Mike Sherman,2002,0.2722371967654987,0.3825345,1113,-0.1102973071712689,-0.4517904668099757
Butch Davis,2002,0.2674858223062382,0.38715005,1058,-0.11966422690335654,-0.5249419250441131
Dave McGinnis,2002,0.21078921078921078,0.3315555,1001,-0.12076627493619205,-0.5335484278168247
Tony Dungy,2002,0.2915129151291513,0.42122093,1084,-0.12970801330140597,-0.6033794095346265
Jeff Fisher,2002,0.21030042918454936,0.34362864,1165,-0.13332821575868795,-0.6316515733224507
Mike Tice,2002,0.33271547729379053,0.46876088,1079,-0.13604540055388098,-0.6528715726119819
Brian Billick,2002,0.0857449088960343,0.23168553,933,-0.1459406252235717,-0.7301488563771711
Andy Reid,2002,0.0016764459346186086,0.1483421,1193,-0.14666565683141838,-0.7358110293109414
Marty Schottenheimer,2002,0.23264907135874877,0.3843818,1023,-0.1517327295312201,-0.77538260327235
Dave Campo,2002,0.0,0.15715335,946,-0.15715335309505463,-0.8177152515253788
Dom Capers,2002,0.07399577167019028,0.23217595,946,-0.15818017456546646,-0.8257342684546513
John Fox,2002,0.028511087645195353,0.18765022,947,-0.15913913096079982,-0.8332232894677472
Jim Fassel,2002,0.08865248226950355,0.25049534,1128,-0.16184286213090232,-0.8543382219560186
Jon Gruden,2002,0.0,0.16195698,1225,-0.16195698082447052,-0.8552294379677979
Steve Spurrier,2002,0.21011673151750973,0.38624197,1028,-0.17612524092893192,-0.9658772194077814
Dave Wannstedt,2002,0.12925851703406813,0.32660386,998,-0.19734534262894152,-1.1315967331466308
Tom Coughlin,2002,0.2426470588235294,0.44061077,952,-0.19796370758729823,-1.1364258872035113
Jim Haslett,2002,0.26262626262626265,0.4723686,990,-0.2097423353580513,-1.2284117077370307
Bill Belichick,2002,0.26862745098039215,0.49343485,1020,-0.22480739542082245,-1.3460630961866848
Gregg Williams,2002,0.28095238095238095,0.5064538,1050,-0.22550143116996402,-1.3514832053120367
Dan Reeves,2002,0.11647972389991372,0.34983778,1159,-0.23335805609886556,-1.4128399358900763
Marty Mornhinweg,2002,0.058823529411764705,0.30151448,952,-0.24269094712593975,-1.4857256451411165
Dick LeBeau,2002,0.07839388145315487,0.32517254,1046,-0.24677866207254093,-1.5176488725992332
Steve Mariucci,2002,0.06896551724137931,0.33816358,1189,-0.26919806722936956,-1.6927344105211468
Mike Shanahan,2002,0.0965583173996176,0.3697164,1046,-0.27315808846891265,-1.7236604071770583
Mike Holmgren,2002,0.019102196752626553,0.2939079,1047,-0.2748057138327769,-1.736527625156662
Dick Vermeil,2002,0.09844559585492228,0.39512965,965,-0.29668405497630024,-1.9073876948666817
Mike Martz,2002,0.04207436399217221,0.3390468,1022,-0.2969724421048584,-1.9096398694975498
Dick Jauron,2002,0.022774327122153208,0.34166485,966,-0.3188905235896693,-2.0808102935181707
Bill Callahan,2002,0.0,0.3268792,1235,-0.32687920331954956,-2.1431983130935226
Herm Edwards,2002,0.0009523809523809524,0.34352115,1050,-0.34256876701400396,-2.265726795896153
Bill Parcells,2003,0.1036036036036036,0.17994621,1110,-0.07634261035704398,-0.18661945468420116
Dom Capers,2003,0.17117117117117117,0.2690868,888,-0.09791563679506113,-0.35509515295014904
Dave McGinnis,2003,0.3104508196721312,0.41050234,976,-0.10005152469775713,-0.37177548321620585
Jim Fassel,2003,0.24011571841851495,0.3419949,1037,-0.10187919301375128,-0.38604875621387086
Jim Haslett,2003,0.2975124378109453,0.40352696,1005,-0.106014523992491,-0.41834384360949994
Gregg Williams,2003,0.2288659793814433,0.34167248,970,-0.11280650072491047,-0.4713861474275643
Jeff Fisher,2003,0.23402340234023403,0.34723023,1111,-0.11320682346123387,-0.47451248914543126
Tony Dungy,2003,0.32678132678132676,0.44639963,1221,-0.11961830233473159,-0.5245832746809439
Dave Wannstedt,2003,0.10010427528675704,0.22375295,959,-0.12364867037478776,-0.5560586484199117
Jack Del Rio,2003,0.2822265625,0.4071753,1024,-0.12494874000549316,-0.5662116114015664
Butch Davis,2003,0.2861635220125786,0.4162291,954,-0.13006557702268445,-0.6061718224485051
John Fox,2003,0.03484602917341977,0.16779608,1234,-0.13295004617066591,-0.6286982377954204
Steve Spurrier,2003,0.1698880976602238,0.30645683,983,-0.13656873641761128,-0.6569585918961283
Bill Belichick,2003,0.14458804523424879,0.28750533,1238,-0.14291728342099413,-0.7065379076422145
Jon Gruden,2003,0.0,0.15093039,1027,-0.15093038976192474,-0.7691166881367544
Mike Tice,2003,0.24665391969407266,0.4203382,1046,-0.17368429374968344,-0.9468145124836628
Bill Cowher,2003,0.2881188118811881,0.46586373,1010,-0.17774492260253077,-0.9785262096508587
Andy Reid,2003,0.010299625468164793,0.20195301,1068,-0.1916533833027779,-1.0871450738149173
Dan Reeves,2003,0.10026737967914438,0.30892432,748,-0.20865693768077992,-1.2199352368023693
Marty Schottenheimer,2003,0.25104166666666666,0.46263653,960,-0.21159486373265585,-1.2428791266856754
Steve Mariucci,2003,0.07588357588357589,0.2885745,962,-0.2126909110873256,-1.2514387668428448
Mike Shanahan,2003,0.10947562097516099,0.33513233,1087,-0.22565670968089063,-1.3526958611083488
Dennis Erickson,2003,0.09970674486803519,0.3297999,1023,-0.2300931456501533,-1.3873424439548117
Brian Billick,2003,0.028680688336520075,0.26227605,1046,-0.23359536509212983,-1.4146932131045578
Mike Sherman,2003,0.14664310954063603,0.38831428,1132,-0.24167116739303401,-1.4777616210357185
Marvin Lewis,2003,0.09607843137254903,0.3483702,1020,-0.2522917630625706,-1.560703728234561
Dick Jauron,2003,0.04757085020242915,0.30947536,988,-0.2619045120984437,-1.6357750035017176
Herm Edwards,2003,0.0,0.26925412,926,-0.2692541182041168,-1.6931721435919407
Mike Martz,2003,0.053009883198562445,0.34724686,1113,-0.2942369722987978,-1.8882770724423659
Bill Callahan,2003,0.0,0.295861,978,-0.29586100578308105,-1.900960048382623
Dick Vermeil,2003,0.09904761904761905,0.4135602,1050,-0.31451259261085873,-2.046620608508772
Wade Phillips,2003,0.005988023952095809,0.33433872,167,-0.3283507006610939,-2.1546900499078014
Mike Holmgren,2003,0.00186219739292365,0.35255733,1074,-0.3506951339307,-2.329190090885815
Jack Del Rio,2004,0.395748987854251,0.39963904,988,-0.003890052377453712,0.3792026533930692
Mike Mularkey,2004,0.16493775933609958,0.21420829,964,-0.049270530644788785,0.024801392832862083
Bill Cowher,2004,0.22062780269058296,0.2769325,1115,-0.05630470506278923,-0.030132366702548666
