category,test,p,p_source,rank,bh_threshold,sig_raw,sig_bh
Persistence Offensive,fourth_down_aggression Lag 2,0.0,clustered,1,0.0004166666666666667,True,True
Persistence Offensive,fourth_down_aggression Lag 1,0.0,clustered,2,0.0008333333333333334,True,True
Persistence lag_3,deep_pass,0.0,clustered,3,0.0012500000000000002,True,True
Persistence lag_3,two_point,0.0,clustered,4,0.0016666666666666668,True,True
Persistence lag_3,pass_heavy,0.0,clustered,5,0.0020833333333333333,True,True
Persistence lag_3,fourth_down,0.0,clustered,6,0.0025000000000000005,True,True
Persistence lag_3,composite,0.0,clustered,7,0.002916666666666667,True,True
Persistence lag_2,deep_pass,0.0,clustered,8,0.0033333333333333335,True,True
Persistence Offensive,two_point_aggression Lag 2,0.0,clustered,9,0.00375,True,True
Persistence Offensive,composite_aggression Lag 1,0.0,clustered,10,0.004166666666666667,True,True
Persistence Defensive,fourth_down_aggression Lag 1,0.0,wild_cluster,11,0.004583333333333333,True,True
Persistence Offensive,deep_pass_aggression Lag 2,0.0,clustered,12,0.005000000000000001,True,True
Persistence Offensive,deep_pass_aggression Lag 1,0.0,clustered,13,0.005416666666666667,True,True
Persistence Offensive,pass_heavy_aggression Lag 2,0.0,clustered,14,0.005833333333333334,True,True
Persistence Offensive,pass_heavy_aggression Lag 1,0.0,clustered,15,0.00625,True,True
Persistence Offensive,composite_aggression Lag 2,0.0,clustered,16,0.006666666666666667,True,True
Persistence lag_2,pass_heavy,0.0,clustered,17,0.007083333333333334,True,True
Persistence lag_2,fourth_down,0.0,clustered,18,0.0075,True,True
Persistence lag_2,composite,0.0,clustered,19,0.007916666666666667,True,True
Persistence lag_1,two_point,0.0,clustered,20,0.008333333333333333,True,True
Persistence lag_1,deep_pass,0.0,clustered,21,0.008749999999999999,True,True
Persistence lag_1,pass_heavy,0.0,clustered,22,0.009166666666666667,True,True
Persistence lag_1,fourth_down,0.0,clustered,23,0.009583333333333334,True,True
Persistence lag_1,composite,0.0,clustered,24,0.010000000000000002,True,True
Coordinator-to-HC Transmission,shotgun,0.0,clustered,25,0.010416666666666668,True,True
Persistence Defensive,two_point_aggression Lag 2,0.0,wild_cluster,26,0.010833333333333334,True,True
Persistence Defensive,composite_aggression Lag 1,0.0,wild_cluster,27,0.011250000000000001,True,True
Persistence Defensive,composite_aggression Lag 2,0.0,wild_cluster,28,0.011666666666666667,True,True
Persistence Defensive,composite_aggression Lag 3,0.0,wild_cluster,29,0.012083333333333335,True,True
Persistence Defensive,two_point_aggression Lag 3,0.0,wild_cluster,30,0.0125,True,True
Persistence Defensive,two_point_aggression Lag 1,0.0,wild_cluster,31,0.012916666666666668,True,True
Persistence Defensive,pass_heavy_aggression Lag 1,0.0,wild_cluster,32,0.013333333333333334,True,True
Temporal Trend,Linear regression,6.30907546675798e-08,naive,33,0.013750000000000002,True,True
Temporal Trend,ANOVA across eras,3.262277493242122e-07,naive,34,0.014166666666666668,True,True
Temporal Trend,Early (2006-2011) vs Late (2018-2024) (t-test),2.7134737531382975e-06,naive,35,0.014583333333333335,True,True
Two-Way Fixed Effects,Pooled (2006-2024),3.5804219705282136e-05,naive,36,0.015,True,True
Temporal Trend,Middle (2012-2017) vs Late (2018-2024) (t-test),5.275140198084176e-05,naive,37,0.015416666666666669,True,True
Era Analysis,Early (2006-2011): composite,0.0008432680383063963,naive,38,0.015833333333333335,True,True
Coach Type by Era,Offensive Early (2006-2011),0.0009154189715636464,naive,39,0.01625,True,True
Persistence Offensive,two_point_aggression Lag 1,0.001,clustered,40,0.016666666666666666,True,True
Temporal Trend,Early (2006-2011) vs Late (2018-2024) (Mann-Whitney),0.0011655011655011655,naive,41,0.017083333333333336,True,True
Coach Type (Overall),Offensive: composite,0.002,clustered,42,0.017499999999999998,True,True
Overall WAR,Composite Aggression,0.003,clustered,43,0.017916666666666668,True,True
Persistence Offensive,two_point_aggression Lag 3,0.0035,wild_cluster,44,0.018333333333333333,True,True
Persistence Defensive,deep_pass_aggression Lag 1,0.0035,wild_cluster,45,0.018750000000000003,True,True
Persistence Defensive,pass_heavy_aggression Lag 2,0.004,wild_cluster,46,0.01916666666666667,True,True
Coach Type (Overall),Offensive: pass_heavy,0.004,clustered,47,0.019583333333333335,True,True
Persistence Defensive,fourth_down_aggression Lag 3,0.0045,wild_cluster,48,0.020000000000000004,True,True
Overall WAR,Pass-Heavy Aggression,0.007,clustered,49,0.020416666666666666,True,True
Persistence Offensive,fourth_down_aggression Lag 3,0.0085,wild_cluster,50,0.020833333333333336,True,True
Persistence Defensive,pass_heavy_aggression Lag 3,0.0085,wild_cluster,51,0.02125,True,True
Coach Type by Era,Defensive Middle (2012-2017),0.008551456487256016,naive,52,0.021666666666666667,True,True
Persistence Offensive,pass_heavy_aggression Lag 3,0.01,wild_cluster,53,0.022083333333333333,True,True
Persistence Offensive,composite_aggression Lag 3,0.01,wild_cluster,54,0.022500000000000003,True,True
Shotgun Inheritance: Protege OC,shotgun,0.011,clustered,55,0.02291666666666667,True,True
Era Analysis,Middle (2012-2017): pass_heavy,0.014910739466596917,naive,56,0.023333333333333334,True,True
Era Analysis,Early (2006-2011): pass_heavy,0.01635442944170521,naive,57,0.02375,True,True
Two-Way Fixed Effects,Early (2006-2011),0.019304348676656646,naive,58,0.02416666666666667,True,True
