year,child_id,child_name,child_role,parent_id,parent_name,parent_role,team,relationship_type,parent_aggression,parent_fourth_down,parent_pass_heavy,parent_deep_pass,parent_two_point,parent_seasons,child_aggression,child_fourth_down,child_pass_heavy,child_deep_pass,child_two_point,child_seasons
2002,aaron_kromer,Aaron Kromer,Offensive Line,marc_trestman,Marc Trestman,Offensive Coordinator,rai,position_to_coordinator,0.0136775149794407,-0.00751974409150185,0.0492183606602168,-0.0061980716677646,0.0192095150168125,2,-0.0035061093006999,-0.0679078694692877,0.0809426674476037,-0.0018735295952026,-0.0251857055859132,1
2002,aaron_kromer,Aaron Kromer,Offensive Line,bill_callahan,Bill Callahan,Head Coach,rai,position_to_hc,0.0096221790236413,0.0076000068994129,-0.039271126989383,0.0058570058648801,0.0643028303196555,1,-0.0035061093006999,-0.0679078694692877,0.0809426674476037,-0.0018735295952026,-0.0251857055859132,1
2004,aaron_kromer,Aaron Kromer,Offensive Line,norv_turner,Norv Turner,Head Coach,rai,position_to_hc,0.0014305406977153,-0.009302327913007733,0.004801673140174834,0.028367621672402216,-0.018144804108707998,6,-0.0035061093006999,-0.0679078694692877,0.0809426674476037,-0.0018735295952026,-0.0251857055859132,1
2006,aaron_kromer,Aaron Kromer,Sr. Asst./OL,jon_gruden,Jon Gruden,Head Coach,tam,position_to_hc,-0.0152724226048563,-0.011340200320770271,0.021874390714598572,-0.05066816976171135,-0.020955711051542116,7,-0.0035061093006999,-0.0679078694692877,0.0809426674476037,-0.0018735295952026,-0.0251857055859132,1
2008,aaron_kromer,Aaron Kromer,Running Backs,doug_marrone,Doug Marrone,Offensive Coordinator,nor,position_to_coordinator,0.008672248259083443,-0.004784795065349086,0.028011683774566483,-0.017729240279920858,0.029191344607037296,7,-0.0035061093006999,-0.0679078694692877,0.0809426674476037,-0.0018735295952026,-0.0251857055859132,1
2008,aaron_kromer,Aaron Kromer,Running Backs,sean_payton,Sean Payton,Head Coach,nor,position_to_hc,0.005341193759723847,0.009887667154358699,0.05048035606109442,-0.029833814780408037,-0.009169433396149606,17,-0.0035061093006999,-0.0679078694692877,0.0809426674476037,-0.0018735295952026,-0.0251857055859132,1
2013,aaron_kromer,Aaron Kromer,Offensive Coordinator,marc_trestman,Marc Trestman,Head Coach,chi,coordinator_to_hc,0.0136775149794407,-0.00751974409150185,0.0492183606602168,-0.0061980716677646,0.0192095150168125,2,-0.0035061093006999,-0.0679078694692877,0.0809426674476037,-0.0018735295952026,-0.0251857055859132,1
2015,aaron_kromer,Aaron Kromer,Offensive Line,rex_ryan,Rex Ryan,Head Coach,buf,position_to_hc,-0.0134607594853221,-0.018455281384676687,-0.045557960629648786,0.0226605911892939,-0.012490387116256937,8,-0.0035061093006999,-0.0679078694692877,0.0809426674476037,-0.0018735295952026,-0.0251857055859132,1
2016,aaron_kromer,Aaron Kromer,Offensive Line,anthony_lynn,Anthony Lynn,Offensive Coordinator,buf,position_to_coordinator,0.01684287199385284,0.04028429213189226,0.0185923716006632,0.02907914548731456,-0.020584321244458498,5,-0.0035061093006999,-0.0679078694692877,0.0809426674476037,-0.0018735295952026,-0.0251857055859132,1
2017,aaron_kromer,Aaron Kromer,Offensive Line,matt_lafleur,Matt LaFleur,Offensive Coordinator,ram,position_to_coordinator,0.027037674779187833,0.05605756600965775,0.03991244416989676,-0.011016340233767416,0.023197029170964303,6,-0.0035061093006999,-0.0679078694692877,0.0809426674476037,-0.0018735295952026,-0.0251857055859132,1
2017,aaron_kromer,Aaron Kromer,Offensive Line,sean_mcvay,Sean McVay,Head Coach,ram,position_to_hc,0.011279884349732474,0.0035515109048034504,0.040144324962959325,0.0027081450667686257,-0.0012844435356014496,8,-0.0035061093006999,-0.0679078694692877,0.0809426674476037,-0.0018735295952026,-0.0251857055859132,1
2020,aaron_kromer,Aaron Kromer,Offensive Line/RGC,kevin_o'connell,Kevin O'Connell,Offensive Coordinator,ram,position_to_coordinator,0.023658066612577532,0.019034722910635165,0.07393352490793177,0.017401038390369633,-0.015737019758626434,3,-0.0035061093006999,-0.0679078694692877,0.0809426674476037,-0.0018735295952026,-0.0251857055859132,1
2022,aaron_kromer,Aaron Kromer,Offensive Line,sean_mcdermott,Sean McDermott,Head Coach,buf,position_to_hc,0.02644971759636356,0.02836017883311355,0.05072947450340276,0.01964469278481666,0.007064524264121275,8,-0.0035061093006999,-0.0679078694692877,0.0809426674476037,-0.0018735295952026,-0.0251857055859132,1
2007,adam_gase,Adam Gase,Quarterbacks,rod_marinelli,Rod Marinelli,Head Coach,det,position_to_hc,0.004790209233458934,-0.012010141931560733,0.04965733470674483,0.015976622991277667,-0.0344629788326259,3,-0.00647030230221766,-0.00293284809850368,-2.6703910106900404e-05,-0.00852065882406002,-0.014400998376200097,5
2009,adam_gase,Adam Gase,Wide Receivers,mike_mccoy,Mike McCoy,Offensive Coordinator,den,position_to_coordinator,-0.011283616132763526,-0.0251420122216928,0.024097950086899973,-0.010004945684178502,-0.0340854567120827,4,-0.00647030230221766,-0.00293284809850368,-2.6703910106900404e-05,-0.00852065882406002,-0.014400998376200097,5
2009,adam_gase,Adam Gase,Wide Receivers,josh_mcdaniels,Josh McDaniels,Head Coach,den,position_to_hc,0.0107907756604121,-0.006283342886321575,0.023455635768959576,0.020896241014663648,0.00509456874434675,4,-0.00647030230221766,-0.00293284809850368,-2.6703910106900404e-05,-0.00852065882406002,-0.014400998376200097,5
2011,adam_gase,Adam Gase,Quarterbacks,john_fox,John Fox,Head Coach,den,position_to_hc,-0.014061207496792209,-0.013442944897526975,-0.02469956385631318,0.003296115655254475,-0.021398436888583273,12,-0.00647030230221766,-0.00293284809850368,-2.6703910106900404e-05,-0.00852065882406002,-0.014400998376200097,5
2013,adam_gase,Adam Gase,Offensive Coordinator,john_fox,John Fox,Head Coach,den,coordinator_to_hc,-0.014061207496792209,-0.013442944897526975,-0.02469956385631318,0.003296115655254475,-0.021398436888583273,12,-0.00647030230221766,-0.00293284809850368,-2.6703910106900404e-05,-0.00852065882406002,-0.014400998376200097,5
1992,andy_reid,Andy Reid,Tight Ends/Asst. Offensive Line,mike_holmgren,Mike Holmgren,Head Coach,gnb,position_to_hc,-0.0014719591876643668,-0.02445966501324137,0.000326638941496001,0.0316109946168128,-0.013365805295724668,3,0.008568361155031137,-0.013683937525909433,0.08314618200902871,-0.021143693941084632,-0.014045105921910021,19
2003,anthony_lynn,Anthony Lynn,Running Backs,jack_del_rio,Jack Del Rio,Head Coach,jax,position_to_hc,-0.002741651415875089,0.0016029970754347668,-0.009256015410251178,0.009144786613952833,-0.012458373942636656,9,0.01684287199385284,0.04028429213189226,0.0185923716006632,0.02907914548731456,-0.020584321244458498,5
2005,anthony_lynn,Anthony Lynn,Running Backs,bill_parcells,Bill Parcells,Head Coach,dal,position_to_hc,0.0182480685733467,0.0210419523495214,0.0042783999034582,0.034513027379007,0.0131588946614,1,0.01684287199385284,0.04028429213189226,0.0185923716006632,0.02907914548731456,-0.020584321244458498,5
